"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1923","Majestic Nights","Oct 30, 2014","$4.99","N/A (N/A/32%)","20,000 .. 50,000","00:00 (00:00)","Epiphany Games","Epiphany Games"
"1927","Wild West Online","May 10, 2018","N/A","N/A (N/A/29%)","20,000 .. 50,000","00:00 (00:00)","WWO Partners Ltd","WWO Partners Ltd"
"1939","Endless Night - Alpha","Dec 5, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yerawizard LLC","Yerawizard LLC"
"1941","Rokka","Jan 1, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Jonne Ojennus","Jonne Ojennus"
"1942","Seconds to Square","Aug 23, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fast Fall Studios","Fast Fall Studios"
"1943","Kickshot","May 4, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","R.A.M. Studios LLC","R.A.M. Studios LLC"
"1944","Swallow The Blue: Remastered","Jan 15, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Euphoric Brothers","Euphoric Brothers"
"1945","Pain of War","Nov 24, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Free Initiative Games","Free Initiative Games"
"1949","Telophase","Apr 23, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Telophase Studios, LLC","Telophase Studios, LLC"
"1950","SE VR World Demo","Sep 8, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sektan","Sektan"
"1951","AV-17","Oct 18, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","WANZUNGDEV","WANZUNGDEV"
"1952","Skull Ball Heroes","Sep 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Strength in Numbers Studios, Inc","Strength in Numbers Studios, Inc"
"1953","A Boy and His Beard","Feb 9, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pixel Island","Pixel Island"
"1956","Rollout","Sep 14, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ryan up in here","Ryan up in here"
"1958","Clicker Warriors","Oct 22, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Open World Interactive","Open World Interactive"
"1964","TENET","Oct 31, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ALTER-BOY","ALTER-BOY"
"1965","Quiet Godo","Oct 17, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Quite Good","Quite Good"
"1973","Plenty: Skyhearth","Oct 20, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tiny Lions","Tiny Lions Inc."
"1981","Dragon Souls","Oct 1, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Avant Games","Avant Games"
"1982","Ostrofa","Feb 5, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Normunds Petrovs","Normunds Petrovs"
"1983","Heroes of Fortunia","Apr 4, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Polska Lemon Ltd.","Polska Lemon Ltd."
"1985","Egg Time","Sep 19, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bartoš Studio","Bartoš Studio"
"1988","First Person Shooter Kit Showcase","Jul 28, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kelint","Kelint"
"1989","DreamWatcher","Nov 27, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Class of 2019-2020","Campus ADN"
"1992","Derpy Dinos","Nov 1, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Derpy Dinos","Derpy Dinos"
"1994","Alien Crusader","Mar 9, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Zydrone","Zydrone"
"1995","The Emulator","Dec 21, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Studio Snowspot, T Allen Studios","Studio Snowspot, T Allen Studios"
"1997","HOMEBOUND","Feb 16, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Quixel","Quixel"
"2001","Virus Popper","Apr 9, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Starcade Arcade LLC","Starcade Arcade LLC"
"2003","Alien 911 Prologue","Apr 27, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kicksome Entertainment","Kicksome Entertainment"
"2005","Last Mortem","Oct 30, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Juraj Husek Game Studio","Juraj Husek Game Studio"
"2009","Space of Darkness","Jul 15, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PilotLumpa Gaming","PilotLumpa Gaming"
"2011","The Debug","Sep 24, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Samer Khatib (Snowconesolid Productions)","Samer Khatib (Snowconesolid Productions)"
"2014","Jumping Master(跳跳大咖)","Apr 9, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","重庆环游者网络科技","重庆环游者网络科技"
"2015","Rise of One","Nov 23, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Patriot Game Studio","Patriot Game Studio"
"2016","Force of Elements","Dec 29, 2015","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wicked Fun, Inc.","Wicked Fun, Inc."
"2017","Public Enemy: Revolution Simulator","Aug 19, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Concrete Games","Concrete Games"
"2019","Dirty Harry's Thunder Drive","Feb 18, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Thunder Clap","Thunder Clap"
"2020","In Case of Emergency, Release Raptor","Aug 29, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Arcen Games, LLC","Arcen Games, LLC"
"2021","White Pearl","Dec 23, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Harry Gill","Harry Gill"
"2025","Countrified","May 23, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Avelar Studios","Avelar Studios"
"2028","Just A Dream","Oct 31, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","The Hyper Carries!","The Hyper Carries!"
"2036","Infinitrap Classic: Ohio Jack and The Cup Of Eternity","Dec 22, 2015","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Shadebob Games","Shadebob Games"
"2037","The Alpha Device","Feb 14, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Xiotex Studios Ltd","Xiotex Studios Ltd"
"2039","I'mitation The Eight Suicide Note","Apr 19, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","木枯組, 木枯リオ","木枯組, 木枯リオ"
"2041","Dragon Blood","Jan 31, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","TeamTop Games","101XP"
"2042","4 for the Money Demo","Jan 17, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lost Marble","Lost Marble"
"2050","Attractio","Jan 18, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","GameCoder Studios, Render Farm Studios","Mangatar Games"
"2052","Caelus Trident","Apr 17, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fractured Rogue Studios LLC","Fractured Rogue Studios LLC"
"2053","Clean'Em Up","Jul 13, 2012","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cheesy Holes, Bauer","Cheesy Holes"
"2054","VR Battle Grid","Nov 8, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fred Sauer","Fred Sauer"
"2055","Undungeon Arena","Oct 29, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Laughing Machines","tinyBuild"
"2056","ANYKEY","Mar 13, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Yali Izzo","Yali Izzo"
"2059","Hit N' Rush","Feb 18, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Blackmouth Games","Blackmouth Games"
"2061","Yandere Escape","Feb 28, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","LetmeDwight","LetmeDwight"
"2067","ぶんまわしヒーロー / Full Swing Hero","May 1, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Katsumi Suenami, (kamiena)","Katsumi Suenami, (kamiena)"
"2068","DrainLive","Dec 13, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DrainLive","eiNpictures"
"2069","WorldQuest","Apr 29, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","William Xu, Alex Raita","William Xu, Alex Raita"
"2071","Relic Raiders","Oct 26, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Crystallized Games","Crystallized Games"
"2072","Bane of Asphodel","Apr 21, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","The Bane Of Asphodel Team","The Bane Of Asphodel Team"
"2074","The Cursed Tower","Feb 6, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mohsin Rizvi","Mohsin Rizvi"
"2087","Monster Jam Battlegrounds","Jun 10, 2015","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Team6 game studios B.V.","GameMill Entertainment"
"2089","Aliens Attack VR","Jun 7, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","The Game Forger","The Game Forger"
"2090","1001 Hugs","Oct 1, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Aigul Aubanova","Aigul Aubanova"
"2093","EVIL POSSESSION","May 17, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","2DragonsGames","2DragonsGames"
"2101","Gun Duel","Feb 24, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ok! Games","Ok! Games"
"2102","Mausoleum of the Medusa","Oct 27, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","New Hell Studios","New Hell Studios"
"2103","MyDream","Feb 20, 2015","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MyDream Interactive, Inc","MyDream Interactive, Inc"
"2104","Hanz Puppetguns","Aug 15, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DimleTeam","DimleTeam"
"2107","Calamari Clash","Jan 17, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fallen Penguin Studios","Fallen Penguin Studios"
"2108","VRMultigames","Jul 25, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mad Triangles","Mad Triangles"
"2110","The IOTA Project","Sep 7, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DreamSail Games","DreamSail Games"
"2112","Data Jammers: FastForward","Oct 24, 2011","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Digital Eel","Digital Eel"
"2116","Kika & Daigo: A Curious Tale","Jan 21, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Big Fat Cat Studio","Big Fat Cat Studio"
"2118","Chasing Styx","Sep 5, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ForepawSoft","ForepawSoft"
"2120","Mad Ball","Mar 12, 2021","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Hero Blocks ApS","Hero Blocks ApS"
"2123","Gobernators (Parodia política peruana)","Jun 4, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Elcaelum, CGA Studio","Elcaelum"
"2124","The Secret of Pineview Forest","Oct 31, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","VIS-Games","United Independent Entertainment"
"2128","Capsular","Apr 27, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gunschlinger","Gunschlinger"
"2129","Security Guy vs AI: The Dawn of AI","Jan 24, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Alexander Bogdanov, Alexandrina Svitsyna","Alexander Bogdanov"
"2130","RUCKBALL","May 17, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","The Architects Republic","The Architects Republic"
"2132","Global Adventures","Dec 29, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","PixelSoft","SubaGames"
"2134","Air Attack","Jan 1, 2010","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Four Pixels Games","Four Pixels Games"
"2135","ENYO Arcade","Nov 9, 2015","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","James Mearman","www.dev-zoo.net"
"2139","Temple of Rust","Sep 18, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","James Mearman","www.dev-zoo.net"
"2140","PooShooter: Toilet Invaders","Oct 3, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","FergaTroid Studios","FergaTroid Studios"
"2142","Murnatan","Mar 24, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","AAAGAMES","AAAGAMES"
"2146","ARISEN: Prologue","Jul 18, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Maratus","Maratus"
"2147","Rico-Jump","Jan 24, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Christopher Juerges","Christopher Juerges"
"2148","Xecryst Remains","Feb 21, 2019","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Krysle Quinsen","Krysle Quinsen"
"2151","Valley of Decay","Jun 27, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Mario Papadopoulos","Mario Papadopoulos"
"2153","Ezaron Defense Alpha","May 21, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","RVL Games","RVL Games"
"2155","Astria","Nov 15, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rémi Adriano","Rémi Adriano"
"2162","Luke Sidewalker","Nov 25, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Giant Fox Studios","Giant Fox Studios"
"2164","PROJECT: RUN","Dec 31, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","JaredGames","JaredGames"
"2165","Commie Killer 2069","Feb 6, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Blake Pierce","Pierced Games"
"2166","Embers of Magic","Feb 9, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ithaqua Labs","Ithaqua Labs"
"2168","Mya of the Desert","Apr 24, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Emergency Entrance Studios","Emergency Entrance Studios"
"2169","DimensionsVS","Aug 20, 2018","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","TeePee Studios","TeePee Studios"
"2172","SUPER RECOILFIGHT","May 23, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","OKSoft","OKSoft"
"2173","Ragnarok RE:START","Jul 18, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Gravity Interactive","Gravity Interactive"
"2176","Super Squad","Jun 25, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bad Fox Studios","Bad Fox Studios"
"2177","Abyss The Forgotten Past: Prologue","Dec 4, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","OWG Studios","Sedoc LLC"
"2178","Space Gladiators: The Hole","Nov 12, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Blobfish","Blobfish"
"2180","Emmerholt: Prologue","Feb 14, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Oneiric Entertainment LLC","Oneiric Entertainment LLC"
"2181","Valor Time","Nov 14, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ObjectOnIT","ObjectOnIT"
"2183","Accel","Feb 12, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Objectif 3D - game","Objectif 3D - game"
"2185","Noise Hunters","May 25, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Noise Hunters","Noise Hunters"
"2187","Bloodworks","Jan 1, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Engin Mercan","Engin Mercan"
"2191","Galactic Crew","Mar 28, 2019","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Benjamin Rommel Games","Benjamin Rommel Games"
"2193","Protonwar","Mar 15, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Outer Planet Studios","Outer Planet Studios"
"2194","Bang! Howdy","Jul 1, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Affliction Networks","Affliction Networks"
"2195","Daikaiju Daikessen: Versus","Nov 18, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","One Secret Pseudo","One Secret Pseudo"
"2196","HitBox","Jan 30, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tyler Rogers, David Colson","Wormhole Entertainment, Peripheral Labs"
"2199","FPS Infinite","Mar 16, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Phr00t's Software","Phr00t's Software"
"2200","Arena Stars","Apr 11, 2019","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tiny Titan Studios","Tiny Titan Studios"
"2202","Best in the West","Jan 22, 2023","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Curtis Ashford","Curtis Ashford"
"2205","PROZE: Prologue","Aug 30, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SignSine","SignSine"
"2206","Malediction","Dec 31, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Desert Beagle Studios","FIEA"
"2210","Saint Paul Pre-Alpha","Feb 3, 2019","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Cleyton Jonnas da Silva","Saint Paul Studios"
"2211","Zombie Island","Jan 1, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sheer Studios","Sheer Studios"
"2212","Drifters Loot the Galaxy","Apr 15, 2021","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Blind Squirrel Entertainment, Inc.","Blind Squirrel Publishing"
"2213","Until None Remain: Battle Royale PC Edition","Jan 18, 2018","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","D.W.S.","D.W.S."
"2214","Quest 4 Papa: Reloaded","Jun 3, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","DigiPen Europe-Bilbao","DigiPen Institute of Technology"
"2215","Multibombers","Sep 22, 2018","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Glorified Studios","Glorified Studios"
"2218","Coffee Run","Oct 30, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Andrew Rodenhiser","Andrew Rodenhiser"
"2219","Ope","Nov 29, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Campus ADN 2018-2019","Campus ADN"
"2223","Time Drifter","Jul 7, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lonely Boy Studio Inc.","Lonely Boy Studio Inc."
"2224","Drone Wars","Dec 20, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Ralien Studios","Ralien Studios"
"2225","Crying is not Enough: Remastered","Jun 19, 2018","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Storyline Team.","Storyline Team."
"2226","Aura Kingdom 2","Apr 15, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","X-Legend Entertainment Co., Ltd.","X-Legend Entertainment Co., Ltd."
"2228","panGEMic","Jun 23, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","David Cross","David Cross"
"2229","Pixel Puzzles Illustrations & Anime","Feb 23, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Pixel Puzzles","Pixel Puzzles"
"2230","Time Loader: First Memories","Nov 11, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Flazm","META Publishing"
"2233","Stargunner","Nov 19, 1996","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","3D Realms","3D Realms (Apogee Software)"
"2234","Ties","Jul 22, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Objectif 3D - game","Objectif 3D - game"
"2235","Live Inc.","Jan 29, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Maestro Games","Maestro Games"
"2236","CHRONO","Dec 12, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Martin Nayeri","nima"
"2237","Boiling Steel: Preface","Jan 10, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","MIROWIN","MIROWIN"
"2243","BLOCK Multiplayer: RPG","Mar 16, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CyberMotion Games","CyberMotion Games"
"2244","Dinosaurs A Prehistoric Adventure","Dec 17, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Arcupion Art","Arcupion Art"
"2247","Farmocalypse","Nov 24, 2015","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Glowstick Entertainment","Glowstick Entertainment"
"2248","Rising Hell - Prologue","May 13, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tahoe Games","Toge Productions, Another Indie"
"2249","Remnants","Nov 3, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Kevin Hinker, Julia Daxenbichler, Simon Steiner, Jamie Nord, Martin Jenner","Kevin Hinker"
"2251","Action: Source","Sep 12, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Lights. Camera. Action!","Lights. Camera. Action!"
"2258","Peasants War","Apr 14, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","New Companion","New Companion"
"2259","Pesadelo - Regressão","Feb 11, 2016","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Skyjaz Games","Skyjaz Games"
"2261","Astonia Reborn","Aug 20, 2018","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Astonia Reborn","Astonia Reborn"
"2262","Kitten Squad","Jan 4, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SAGENCY","PETA"
"2266","Rogue Operatives Hide and Seek","Sep 30, 2016","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","SIM720 LIMITED","SIM720 LIMITED"
"2270","Tank Battle","May 25, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Create Game (OlegM)","Create Game (OlegM)"
"2271","Ikeda : The Scrap Hunter E.P.","Aug 10, 2019","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Trent Kaniuga","Aquatic Moon Games"
"2272","Covert Syndrome","Apr 21, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Offworld Industries","Offworld Industries"
"2273","GunBlocks - Prologue","Jan 1, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Steve Welz","Steve Welz"
"2274","Dungeons Forever","Feb 5, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Timedrop Studios","Timedrop Studios"
"2275","Ho-Ho-Home Invasion","Dec 15, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Whitepot Studios","Whitepot Studios"
"2277","Evolution VR","Feb 3, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Magic Tavern","Magic Tavern"
"2278","SQUAKE","Feb 1, 2017","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","On5","On5"
"2283","Cold Space","Dec 8, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","IdeaX","IdeaX"
"2286","League of Pixels - 2D MOBA","Dec 26, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Danius","Danius"
"2287","Agents: Biohunters","Apr 7, 2020","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Playstark","Playstark"
"2290","Crypt- The Black Tower","Mar 9, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Endless Void Studios","Endless Void Studios"
"2291","Q*bert: Rebooted","Jul 1, 2014","N/A","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sideline Amusements, Gonzo Games","Sideline Amusements, Gonzo Games"
"2299","Royale Island Showdown","Feb 10, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Logan Thatcher","Logan Thatcher"
"2305","Figment 2: Creed Valley - Prologue","Jan 15, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Bedtime Digital Games","Bedtime Digital Games"
"2308","Woof Blaster","Sep 22, 2015","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Fabian Jarrett","Fabian Jarrett"
"2309","In Passing","Oct 24, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","CelleC Games","CelleC Games"
"2315","Nyanco Project","Aug 1, 2019","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Nyanco Channel","Nyanco Channel"
"2316","Clandestinity of Elsie","Jul 8, 2015","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","COLNELIUS, Albin Bernhardsson","COLNELIUS"
"2322","Mold on Pizza","Sep 25, 2015","$5.99","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","BTNcafe","BTNcafe"
"2324","Pixel Fodder","Jul 20, 2015","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Wacha","wacha.ru"
"2326","Lamia Must Die","Feb 17, 2014","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Tuomo Laine","Tuomo Laine"
"2327","pemsa","Apr 13, 2022","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Rexcellent Games","Rexcellent Games"
"2333","Blast the Past","Oct 3, 2018","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","The Work Club","The Work Club"
"2334","Sound Shift","Aug 26, 2015","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Matthew Brown","Matthew Brown"
"2335","Alien Arena: Warriors Of Mars","Nov 3, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","COR Entertainment, LLC","COR Entertainment, LLC"
"2336","Nova Blitz","Jul 11, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Dragon Foundry","Dragon Foundry, Hashbang Games"
"2344","Project Exhibited","Jun 16, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Team Thieves","Breda University of Applied Sciences"
"2351","The End o,,,o","May 11, 2017","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","xrrawva","xrrawva"
"2352","Impulse, From Here!","Feb 9, 2021","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","ProjectHueHuman","ProjectHueHuman"
"2354","Electro Ride Prologue","May 30, 2020","Free","N/A (N/A)","20,000 .. 50,000","00:00 (00:00)","Sylwester Osik","Forestlight Games"
